NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº alunos
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0017085;ANTONIO DE ARRUDA RIBEIRO PROF;Marrocos;1
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0047016;ALCHESTE DE GODOY ANDIA PROFA;Peru;1
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0920599;MARIA DE LOURDES BEOZZO FRANCHI PROFA;Bolívia;1
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;08;0029361;FRANCISCO TEODORO DE ANDRADE;Japão;2
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;08;0029609;JOAO BREMBATTI CALVOSO;Japão;1
ESTADUAL - SE;ANDRADINA;ILHA SOLTEIRA;ILHA SOLTEIRA;08;0030740;ARNO HAUSSER;Espanha;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0029737;LICOLINA VILLELA REIS ALVES PROFA;Venezuela;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0029798;MANOEL BENTO DA CRUZ;Colômbia;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0029798;MANOEL BENTO DA CRUZ;Japão;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0030053;MARIA APPARECIDA BALTHAZAR POCO PROFA;Japão;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0909257;ARTHUR LEITE CARRIJO PROF;Colômbia;1
ESTADUAL - SE;ARARAQUARA;ARARAQUARA;ARARAQUARA;08;0043540;LUISA ROLFSEN PETRILLI PROFA;Bolívia;1
ESTADUAL - SE;ARARAQUARA;ARARAQUARA;ARARAQUARA;08;0043540;LUISA ROLFSEN PETRILLI PROFA;Venezuela;1
ESTADUAL - SE;ARARAQUARA;ARARAQUARA;ARARAQUARA;08;0914265;ANGELINA LIA ROLFSEN PROFA;Peru;1
