NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - SE;CENTRO;VILA GUILHERME;SAO PAULO;8;760;AFRANIO PEIXOTO;Bolívia;56
ESTADUAL - SE;CENTRO;VILA GUILHERME;SAO PAULO;8;760;AFRANIO PEIXOTO;Paraguai;2
ESTADUAL - SE;CENTRO;VILA GUILHERME;SAO PAULO;8;760;AFRANIO PEIXOTO;Peru;1
ESTADUAL - SE;CENTRO;VILA GUILHERME;SAO PAULO;8;760;AFRANIO PEIXOTO;Venezuela;3
ESTADUAL - SE;SAO VICENTE;MONGAGUA;MONGAGUA;8;36110;AGENOR DE CAMPOS;Japão;1
ESTADUAL - SE;SOROCABA;SOROCABA;SOROCABA;8;16299;AGGEO PEREIRA DO AMARAL PROFESSOR;Turquia;1
ESTADUAL - SE;SANTO ANDRE;SANTO ANDRE;SANTO ANDRE;8;8229;AGNALDO SEBASTIAO VIEIRA PADRE;Bolívia;1
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;907078;AGOSTINHO CANO;Angola;1
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;907078;AGOSTINHO CANO;Bolívia;1
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;907078;AGOSTINHO CANO;Colômbia;2
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;907078;AGOSTINHO CANO;Haiti;2
ESTADUAL - SE;TUPA;BASTOS;BASTOS;8;34721;AGUIA DE HAIA;Japão;1
ESTADUAL - SE;SAO VICENTE;MONGAGUA;MONGAGUA;8;45160;AIDA LEDA BAUER DAVIES PROFESSORA;Angola;1
ESTADUAL - SE;ITAPEVI;ITAPEVI;ITAPEVI;8;352561;AIR FERREIRA DO NASCIMENTO PROFESSOR;Haiti;1
ESTADUAL - SE;JALES;URANIA;URANIA;8;27248;AKIO SATORU PROFESSOR;Japão;1
ESTADUAL - SE;CAIEIRAS;CAIEIRAS;CAIEIRAS;8;921002;ALADINO POLON;Japão;1
ESTADUAL - SE;CENTRO;SANTA CECILIA;SAO PAULO;8;3530;ALARICO SILVEIRA DOUTOR;Argentina;2
ESTADUAL - SE;CENTRO;SANTA CECILIA;SAO PAULO;8;3530;ALARICO SILVEIRA DOUTOR;Bolívia;3
ESTADUAL - SE;CENTRO;SANTA CECILIA;SAO PAULO;8;3530;ALARICO SILVEIRA DOUTOR;Venezuela;1
ESTADUAL - SE;ITAPEVI;BARUERI;BARUERI;8;9878;ALAYDE DOMINGUES COUTO MACEDO PROFESSORA;Bolívia;1
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;900163;ALAYDE MARIA VICENTE PROFESSORA;Argentina;1
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;900163;ALAYDE MARIA VICENTE PROFESSORA;Bolívia;9
